id,sentence_A,sentence_B,relatedness
443,A blond girl is riding the waves,A blond girl is looking at the waves,3.8
444,A blond girl is riding the waves,A blond girl waves while she is riding,3.2
445,A lady is surfing and riding a wave,A woman is surfing,4.6
446,A lady is surfing and riding a wave,A boy is surfing and riding a wave,3.5
447,A woman is surfing,A blond girl is riding the waves,4
448,A boy is surfing and riding a wave,A blond girl is riding the waves,3.6
449,A lady is surfing and riding a wave,A blonds girl is surfing,3.6
450,A lady is surfing and riding a wave,A blond girl is looking at the waves,3.3
451,A blond girl waves while she is riding,A lady is surfing and riding a wave,2.3
452,A lady is surfing and riding a wave,A blond girl is riding the waves,4
453,Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb,4.6
454,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,3.6
455,Two children are hanging on a large branch,Two children are climbing a tree,4.2
456,There is no child hanging on a large branch,Two children are hanging on a large branch,3.3
457,Two children and an adult are standing next to a tree limb,Two children are climbing a tree,3
458,Two children and an adult are standing next to a tree limb,There is no child hanging on a large branch,2.4
459,Three people are standing next to a tree limb,Two children are hanging on a large branch,2.5
460,Two children are hanging on a large branch,Two children and an adult are not standing next to a tree limb,2.4
461,Two children and an adult are standing next to a tree limb,Two children are hanging on a large branch,2.7
462,A man dressed in black is riding a bike,A man is performing a trick on a bike,3.5
463,There is no man dressed in black and riding a green bike,A man dressed in black is riding a bike,3.2
464,A black man in green is riding a bike,A man dressed in black is riding a bike,3.5
465,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,4.7
466,A man is performing a trick on a green bicycle,There is no man performing a trick on a green bicycle,4.8
467,A man dressed in black is riding a bike,A man is performing stunts on a green bicycle,3.3
468,There is no man performing a trick on a green bicycle,A man dressed in black is riding a bike,2.8
469,A man is performing a trick on a green bicycle,A man is performing a trick on a bike,4.5
470,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,3.4
471,A man is performing a trick on a green bicycle,A black man in green is riding a bike,2.7
472,A man is performing a trick on a green bicycle,A man dressed in black is riding a bike,3.8
473,A boy is holding a squirt gun,A child is holding a squirt gun,4.5
474,There is no child holding a squirt gun,A child is holding a squirt gun,3.035
475,A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,4
476,There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,4
477,A child with a gun that sprays water is laughing and getting hit by other boys,A child is holding a squirt gun,3.9
478,A child is holding a squirt gun,There is no child holding a water gun or getting sprayed with water,4.085
479,A boy is holding a squirt gun,A laughing child is holding a water gun and getting sprayed with water,4
480,There is no child holding a squirt gun,A laughing child is holding a water gun and getting sprayed with water,3.6
481,A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun,4.5
482,Two brown dogs are fighting over a red ball and are playing in the grass,Two brown dogs are fighting over a red toy and are playing in the grass,4.7
483,Two brown dogs are fighting over a red ball and are playing in the grass,There is no dog playing with a red ball,2.5
484,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,4.2
485,Two cats are playing with a red ball,Two daschunds are playing with a red ball,3.3
486,Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,3.8
487,Two cats are playing with a red ball,Two brown dogs are fighting over a red ball and are playing in the grass,2.95
488,Two daschunds are playing with a red ball,Two brown dogs are fighting over a red toy and are playing in the grass,3.8
489,There is no dog playing with a red ball,Two daschunds are playing with a red ball,3
490,Two daschunds are playing with a red ball,Two brown dogs are fighting over a red ball and are playing in the grass,3.7
491,The black and white dog is running and a person stands behind it,"The dog, which is black and white, is running and a person stands behind it",4.9
492,The black and white dog is running and a person stands behind it,The black and white dog isn't running and there is no person standing behind,3.3
493,A black person is running along a white stand and a dog barks behind him,The black and white dog is running and a person stands behind it,2.4
494,A little dog is sprinting and the person who owns it is trying to catch it,A little dog is sprinting and its owner is trying to catch it,4.8
495,A little dog is slowing down and the owner is quitting chasing it,A little dog is sprinting and its owner is trying to catch it,3.9
496,The black and white dog is running and a person stands behind it,A little dog is sprinting and the person who owns it is trying to catch it,3
497,The black and white dog is running and a person stands behind it,A little dog is slowing down and the owner is quitting chasing it,2.9
498,"The dog, which is black and white, is running and a person stands behind it",A little dog is sprinting and its owner is trying to catch it,3.7
499,The black and white dog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,2.7
500,A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,2.5
501,The black and white dog is running and a person stands behind it,A little dog is sprinting and its owner is trying to catch it,3.3
502,A man is sitting comfortably at a table,A person is sitting comfortably at the table,4.5
503,A man isn't sitting comfortably at the table,A man is sitting comfortably at a table,3.45
504,A man is sitting and tables a comfortable discussion,A man is sitting comfortably at a table,3.7
505,A man wearing a dyed black shirt is sitting at the table and laughing,A black shirt is being worn by a man who is sitting at the table and laughing,4.7
506,A man wearing a dyed black shirt is sitting at the table and laughing,"There is no man wearing a shirt dyed black, sitting at the table and laughing",3.7
507,A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,3.6
508,A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,3.5
509,A man is sitting comfortably at a table,"There is no man wearing a shirt dyed black, sitting at the table and laughing",2.8
510,A man is sitting comfortably at a table,A laughing man is dyeing a shirt black on the table which you cannot sit at ,2.4
511,A man wearing a dyed black shirt is sitting at the table and laughing,A person is sitting comfortably at the table,3
512,A man wearing a dyed black shirt is sitting at the table and laughing,A man isn't sitting comfortably at the table,3
513,A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,2.4
514,A man is sitting comfortably at a table,A man wearing a dyed black shirt is sitting at the table and laughing,3.9
515,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,4.3
516,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,3.7
517,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A pedestrian woman is building pink bicycles for boa wearing riders,2.8
518,"The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike","The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",4.7
519,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike","The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",4
520,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,3.3
521,"The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike",A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,3
522,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.6
523,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,2.7
524,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.7
525,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,2.5
526,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",A pedestrian woman is building pink bicycles for boa wearing riders,2.4
527,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",2.5
528,"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,4.7
529,A biker is naked,A biker is wearing gear which is black,3.315
530,A biker is wearing gear which is black,A biker wearing black is breaking the gears,3.1
531,A black helmet is being worn by a man who is pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,4.8
532,There is no man wearing a black helmet and pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,3.1
533,One man is wearing a black helmet and pushing a bicycle,A man is pushing a helmet towards another one on a black bicycle,3.4
534,A black helmet is being worn by a man who is pushing a bicycle,A biker is wearing gear which is black,3.5
535,A biker is wearing gear which is black,There is no man wearing a black helmet and pushing a bicycle,2.7
536,A man is pushing a helmet towards another one on a black bicycle,A biker is wearing gear which is black,2.4
537,"A person, who is riding a bike, is wearing gear which is black",One man is wearing a black helmet and pushing a bicycle,3.3
538,One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.6
539,One man is wearing a black helmet and pushing a bicycle,A biker wearing black is breaking the gears,2.3
540,A biker is wearing gear which is black,One man is wearing a black helmet and pushing a bicycle,3.3
541,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,4.9
542,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.5
543,The man in a grey t-shirt is sitting on a rock in front of the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,3
544,One woman is sitting and looks at the waterfall,A woman is sitting and looking at the waterfall,4.6
545,A woman is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,3.1
546,A woman is sitting and looking at the waterfall,Somebody is sitting at the waterfall and looking at a woman,3.1
547,The man in a grey t-shirt is sitting on a rock in front of the waterfall,One woman is sitting and looks at the waterfall,2.685
548,A woman is standing and isn't looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,2.5
549,The man in a grey t-shirt is sitting on a rock in front of the waterfall,Somebody is sitting at the waterfall and looking at a woman,3.5
550,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,3.1
551,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.9
552,A woman is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,2.5
553,A woman is sitting and looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,2.9
554,"A dog, which is brown, and a black one are racing in the grass","A dog, which is brown, and a black one are running in the grass",4.4
555,"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.4
556,A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",2.5
557,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,4.9
558,A dark black dog and a light brown dog are playing in the backyard,A dark black dog and a light brown dog are fighting in the backyard,3.8
559,The backyard light is playing tricks in the dark on the brown and black dog,A dark black dog and a light brown dog are playing in the backyard,3.1
560,A dark black dog and a light brown dog are playing in the yard in the back,"A dog, which is brown, and a black one are running in the grass",4
561,A dark black dog and a light brown dog are fighting in the backyard,"A dog, which is brown, and a black one are running in the grass",3.6
562,The backyard light is playing tricks in the dark on the brown and black dog,"A dog, which is brown, and a black one are running in the grass",2.5
563,"A dog, which is brown, and a black one are racing in the grass",A dark black dog and a light brown dog are playing in the backyard,3.6
564,There is no dog running in the grass,A dark black dog and a light brown dog are playing in the backyard,3.1
565,A dark black dog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,2
566,"A dog, which is brown, and a black one are running in the grass",A dark black dog and a light brown dog are playing in the backyard,3.9
567,A dog that has a brown and white coat is trotting through shallow water,A dog that has a white and brown colored coat is trotting through shallow water.,5
568,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,4.1
569,A dog that has a brown and white coat is trotting through shallow water,A brown and white coat is floating across shallow water near a trotting dog,2.9
570,A white and brown dog is walking through the water with difficulty,A white and brown dog is pacing through the water with difficulty,4.5
571,A white and brown dog is walking through the water with difficulty,There is no white and brown dog pacing with through the water difficulty,2.6
572,A white man is walking a dog through brown water with difficulty,A white and brown dog is walking through the water with difficulty,3.6
573,A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.8
574,A dog that has a brown and white coat is trotting through shallow water,There is no white and brown dog pacing with through the water difficulty,3.1
575,A white man is walking a dog through brown water with difficulty,A dog that has a brown and white coat is trotting through shallow water,2.3
576,A dog that has a white and brown colored coat is trotting through shallow water.,A white and brown dog is walking through the water with difficulty,4
577,A dog that has a brown and white coat is sitting in shallow water,A white and brown dog is walking through the water with difficulty,3.5
578,A white and brown dog is walking through the water with difficulty,A brown and white coat is floating across shallow water near a trotting dog,2.5
579,A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,3.7
580,A group of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large door made of wood,4.9
581,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,3.5
582,A group of boys are playing with a ball in front of a large door made of wood,A ball made of wood is being played through a door in front of a large group of boys ,3.6
583,"The children are playing in front of a door, which is very large",The children are playing in front of a large door,4.9
584,The children aren't playing in front of a large door,The children are playing in front of a large door,4.3
585,A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large",3.8
586,The children aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,3.4
587,A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.4
588,The children are playing in front of a large door,A group of boys are quiet in front of a large door made of wood,3.4
589,The children are playing in front of a large door,A ball made of wood is being played through a door in front of a large group of boys ,3.4
590,A group of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,4.2
591,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",4.3
592,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A woman is putting on a cloak, which is very large, and concealing an extravagant dress",3.5
593,"A black, red, white and pink dress is being worn by a woman","A dress, which is black, red, white and pink is being worn by a woman",4.9
594,"There is no black, red, white and pink dress being worn by a woman","A black, red, white and pink dress is being worn by a woman",3.8
595,"A dress, which is black, red, white and pink is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing an extravagant dress",3.6
596,"There is no black, red, white and pink dress being worn by a woman","A woman is taking off a cloak, which is very large, and revealing an extravagant dress",2.4
597,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",2.8
598,"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.2
599,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.4
600,The teenage girl is wearing beads that are red,A teenage girl is wearing beads that are red,5
601,A teenage girl is storing away beads that are red,A teenage girl is wearing beads that are red,3.8
602,A teenage girl is wearing beads that are red,The girl likes red and isn't wearing beads for teenagers,2.8
603,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",5
604,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.7
605,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace ",3.3
606,"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,3.1
607,A teenage girl is wearing beads that are red,"There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.2
608,A teenage girl is wearing beads that are red,"A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace ",1.915
609,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",The teenage girl is wearing beads that are red,2.4
610,A teenage girl is storing away beads that are red,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",2
611,The girl likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",2.3
612,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,3
613,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,4.9
614,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A boy is coming down a wall artificially built for climbing and isn't attached to the rope,3.935
615,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climber on the wall is attached to the climbing boy with an artificially built rope,4.2
616,A fearful little boy is on a climbing wall,"A little boy, who looks fearful, is on a climbing wall.",5
617,A fearful little boy is on a climbing wall,A fearful little boy is on the ground,3.4
618,A climbing boy rescues the fearful cat from over the wall,A fearful little boy is on a climbing wall,2.8
619,A boy is climbing up a wall artificially built for climbing and is attached to a rope,"A little boy, who looks fearful, is on a climbing wall.",3.5
620,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on the ground,2.6
621,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,2.2
622,A fearful little boy is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,4.1
623,A boy is coming down a wall artificially built for climbing and isn't attached to the rope,A fearful little boy is on a climbing wall,3
624,A climber on the wall is attached to the climbing boy with an artificially built rope,A fearful little boy is on a climbing wall,3.4
625,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on a climbing wall,3.9
626,A dad is launching his daughter into a swimming pool,A father is launching the daughter in a swimming pool,4.8
627,A father is launching the daughter in a swimming pool,A father is taking away his daughter from a swimming pool,3.3
628,A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,3.2
629,The man is tossing a kid into the swimming pool that is near the ocean,One man is tossing a kid into the swimming pool that is near the ocean,4.8
630,A man isn't tossing a kid into the swimming pool that is near the ocean,The man is tossing a kid into the swimming pool that is near the ocean,3.5
631,The man is tossing a kid into the swimming pool that is near the ocean,"A kid swimming in the ocean is tossing a coin into the pool, near the man",2.2
632,One man is tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,3.9
633,A man isn't tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,3
634,"A kid swimming in the ocean is tossing a coin into the pool, near the man",A father is launching the daughter in a swimming pool,1.6
635,A dad is launching his daughter into a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,4.2
636,A father is taking away his daughter from a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,2.9
637,A father is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,2.515
638,A father is launching the daughter in a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,3.8
639,One man is climbing the cliff with a rope,One man is climbing a cliff with a rope,4.9
640,One man is descending a cliff with a rope,One man is climbing a cliff with a rope,3.3
641,A social climber is tying a man to a cliff with a rope,One man is climbing a cliff with a rope,3.1
642,"A person is climbing a rock with a rope, which is pink","A rock is being climbed by a person with a rope, which is pink",5
643,"A person is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink",3.9
644,"A person is climbing a rock with a rope, which is pink",A person with pink climbing gear roped the rock,3.4
645,"A rock is being climbed by a person with a rope, which is pink",One man is climbing a cliff with a rope,4.3
646,One man is climbing a cliff with a rope,"A person is standing in front of a rock with a rope, which is pink",3.4
647,One man is climbing a cliff with a rope,A person with pink climbing gear roped the rock,3.3
648,"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,4.1
649,"A person is climbing a rock with a rope, which is pink",One man is descending a cliff with a rope,2.8
650,"A person is climbing a rock with a rope, which is pink",A social climber is tying a man to a cliff with a rope,2.685
651,"A person is climbing a rock with a rope, which is pink",One man is climbing a cliff with a rope,4.6
652,The young boy is climbing the wall made of rock,One young boy is climbing a wall made of rock,4.8
653,A young boy isn't climbing a wall made of rock,The young boy is climbing the wall made of rock,4.1
654,A young climber is making a rock wall for the boys,The young boy is climbing the wall made of rock,3.3
655,A young child is climbing a rock climbing wall which is indoors,A young kid is climbing a rock climbing wall which is indoors,4.7
656,A young child is climbing a rock climbing wall which is indoors,A young child is under a rock climbing wall which is indoors,4
657,A young child is climbing a rock climbing wall which is indoors,A child is indoors watching a program about some young climbers on a rock wall.,3.2
658,The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors,4.3
659,A young child is under a rock climbing wall which is indoors,The young boy is climbing the wall made of rock,3.4
660,A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.4
661,One young boy is climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,4.3
662,A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,3.9
663,A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.9
664,A young child is climbing a rock climbing wall which is indoors,The young boy is climbing the wall made of rock,4.2
665,One man is doing a trick with a bicycle in midair,One man is doing a bicycle trick in midair,4.8
666,One man is doing a bicycle trick in midair,A man is failing to perform a bicycle trick in midair,3.5
667,A cyclist is fearlessly performing a trick in the air,The cyclist is performing a trick in the air,4.9
668,The cyclist is performing a trick in the air,The cyclist isn't performing a trick in the air,3.8
669,The air is tricking a performing cyclist,The cyclist is performing a trick in the air,2.4
670,One man is doing a bicycle trick in midair,A cyclist is fearlessly performing a trick in the air,4.065
671,One man is doing a bicycle trick in midair,The cyclist isn't performing a trick in the air,2.9
672,One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,3
673,One man is doing a trick with a bicycle in midair,The cyclist is performing a trick in the air,4.1
674,A man is failing to perform a bicycle trick in midair,The cyclist is performing a trick in the air,3.3
675,One man is doing a bicycle trick in midair,The cyclist is performing a trick in the air,4.4
676,"A dog, which is black, and a white one are staring at each other in the street","A dog, which is black, and another one, which is white, are staring at each other in the street",4.9
677,"A dog, which is black, and a white one are ignoring each other in the street","A dog, which is black, and a white one are staring at each other in the street",3.6
678,"A dog, which is black, and a white one are staring at each other in the street",One white dog is staring at the black street,3.1
679,Two dogs of different breeds are looking angrily at each other across a street,Two dogs of different breeds are looking at each other across a street,4.6
680,Two dogs of different breeds are looking at each other across a street,There are no dogs of different breeds looking at each other across a street,3.9
681,"Along two streets, different breeds of dogs are being looked at",Two dogs of different breeds are looking at each other across a street,3.1
682,Two dogs of different breeds are looking angrily at each other across a street,"A dog, which is black, and a white one are staring at each other in the street",3.9
683,"A dog, which is black, and a white one are staring at each other in the street",There are no dogs of different breeds looking at each other across a street,3.4
684,"A dog, which is black, and a white one are staring at each other in the street","Along two streets, different breeds of dogs are being looked at",2.9
685,"A dog, which is black, and another one, which is white, are staring at each other in the street",Two dogs of different breeds are looking at each other across a street,4.1
686,Two dogs of different breeds are looking at each other across a street,"A dog, which is black, and a white one are ignoring each other in the street",3.5
687,One white dog is staring at the black street,Two dogs of different breeds are looking at each other across a street,3.4
688,"A dog, which is black, and a white one are staring at each other in the street",Two dogs of different breeds are looking at each other across a street,4.4
690,"A dog next to a tree, which is probably a pine, is dropping a bucket","A dog next to a tree, which is probably a pine, is biting a bucket",3.4
691,"A dog next to a tree, which is probably a pine, is biting a bucket",A dog in a bucket is biting a tree which is probably a pine,3.2
692,A dog which is furry and black is in a backyard and is carrying a basket in its mouth.,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,5
693,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.7
694,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,A dog in the backyard is carrying black fur in a basket in its mouth.,3.9
695,A dog which is furry and black is in a backyard and is carrying a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket",3.4
696,"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.2
697,A dog in the backyard is carrying black fur in a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket",3.4
699,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",2.8
700,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,A dog in a bucket is biting a tree which is probably a pine,2.1
701,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is biting a bucket",2.5
702,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,4.7
703,Two large persons are sitting on a park bench and they have a bottle of soda between them,Two large persons are standing near a park bench and they have nothing between them,4.1
704,Two large park benches have a person sitting and a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.7
705,A man and a woman are sitting comfortably on the bench,Two people are sitting comfortably on the bench,4.6
706,A man and a woman are sitting comfortably on the bench,Nobody is sitting comfortably on the bench,3.585
707,Two large persons are sitting on a park bench and they have a bottle of soda between them,Two people are sitting comfortably on the bench,3.5
708,Nobody is sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.6
709,A man and a woman are sitting comfortably on the bench,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,3.3
710,Two large persons are standing near a park bench and they have nothing between them,A man and a woman are sitting comfortably on the bench,2.8
711,A man and a woman are sitting comfortably on the bench,Two large park benches have a person sitting and a bottle of soda between them,3
712,A man and a woman are sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.9
713,One man is leading the race,A man is leading the race,5
714,A man is leading the race,A man is bringing up the rear of the race,3.1
715,The man is racing for the lead ,A man is leading the race,3.7
716,A few men in a competition are running outside,A few men in a competition are running outdoors,4.1
717,A few men in a competition are running outside,A few men in a competition are running indoors,3.9
718,A few men in a competition are running outside,A few men are running competitions outside,3.9
719,A man is leading the race,A few men in a competition are running outdoors,3.1
720,A man is leading the race,A few men in a competition are running indoors,2.1
721,A man is leading the race,A few men are running competitions outside,3.1
722,A few men in a competition are running outside,One man is leading the race,3.1
723,A man is bringing up the rear of the race,A few men in a competition are running outside,3.7
724,A few men in a competition are running outside,The man is racing for the lead ,3.4
725,A few men in a competition are running outside,A man is leading the race,3.8
726,The subject is being studied by a man with a camera,A man with a camera is studying the subject,4.9
727,A man with a camera is studying the subject,There is no man with a camera studying the subject,3.6
728,A man with a camera is studying the subject,The study subject is a camera man,3.6
729,The man with the dyed purple hat is operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,4.9
730,The man in the purple hat isn't operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,3.4
731,The man with the dyed purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.4
732,A man with a camera is studying the subject,The man in the purple hat isn't operating a camera that makes videos,3.2
733,The man in the purple hat is operating a camera that makes videos,The subject is being studied by a man with a camera,3.6
734,The man in the purple hat is operating a camera that makes videos,There is no man with a camera studying the subject,3.2
735,The study subject is a camera man,The man in the purple hat is operating a camera that makes videos,2.8
736,The man in the purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.3
737,The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.8
738,The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.3
739,The bride is leaving the groom after the wedding,The bride and the groom are leaving after the wedding,3.2
740,A married couple is walking down the aisle,A couple who have just got married are walking down the isle,4.8
741,A married couple is walking up the aisle,A married couple is walking down the aisle,4.4
742,A married couple is walking down the aisle,The priest is walking down the aisle to marry a couple,2.9
743,A couple who have just got married are walking down the isle,The bride and the groom are leaving after the wedding,4.1
744,A married couple is walking up the aisle,The bride and the groom are leaving after the wedding,3.9
745,The priest is walking down the aisle to marry a couple,The bride and the groom are leaving after the wedding,2.8
746,The bride and the groom are leaving after the marriage,A married couple is walking down the aisle,3.6
747,The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,4
